,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Transacción,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link
0,3.0,5.0,2.0,177.0,177.0,5.0,915.0,8.0,860000.0,9887005.65,Venta,1750000000.0,el virrey,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/el-virrey/bogota/7584613
1,3.0,3.0,3.0,100.2,0.0,5.0,1630.0,4.0,550000.0,5688622.75,Venta,570000000.0,calleja baja,Bogotá,PentHouse,No definida,/inmueble/apartamento-en-venta/calleja-baja/bogota/10078389
2,2.0,3.0,1.0,88.0,88.0,4.0,915.0,No definida,No definida,5340909.09,Venta,470000000.0,cedritos,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/7994158
3,3.0,2.0,No definida,62.0,0.0,0.0,No definida,No definida,No definida,2419354.84,Venta,150000000.0,bosa recreo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bosa-recreo/bogota/7747489
4,3.0,5.0,6.0,296.0,296.0,6.0,18.0,No definida,No definida,7770270.27,Venta,2300000000.0,provenza,Bogotá,No definida,No definida,/inmueble/casa-en-venta/provenza/bogota/6991668
5,3.0,1.0,No definida,43.46,43.46,2.0,915.0,4.0,57000.0,3451449.61,Venta,150000000.0,bosa chicala,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/bosa-chicala/bogota/10139621
6,3.0,3.0,2.0,200.0,0.0,5.0,No definida,No definida,No definida,5500000.0,Venta,1100000000.0,desconocido,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240216
7,3.0,4.0,2.0,115.0,115.0,5.0,18.0,No definida,689000.0,9565217.39,Venta,1100000000.0,santa paula,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/santa-paula/bogota/8045367
8,1.0,2.0,1.0,66.0,66.0,6.0,18.0,3.0,400000.0,8787878.79,Venta,580000000.0,chico,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8081387
9,2.0,1.0,1.0,69.0,69.0,3.0,30.0,No definida,207000.0,4347826.09,Venta,300000000.0,teusaquillo,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/teusaquillo/bogota/8089297
10,2.0,2.0,2.0,102.0,102.0,6.0,30.0,4.0,816000.0,6372549.02,Venta,650000000.0,la cabrera,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/la-cabrera/bogota/7908491
11,3.0,3.0,2.0,180.0,0.0,6.0,No definida,No definida,No definida,6388888.89,Venta,1150000000.0,desconocido,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240852
12,2.0,2.0,2.0,110.0,110.0,4.0,915.0,4.0,600000.0,6545454.55,Venta,720000000.0,chapinero alto,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/8065118
13,3.0,3.0,2.0,93.0,93.0,6.0,1630.0,7.0,790000.0,6129032.26,Venta,570000000.0,el virrey,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7981882
14,1.0,1.0,1.0,66.0,66.0,6.0,18.0,2.0,500000.0,8181818.18,Venta,540000000.0,el virrey,Bogotá,Loft,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7980586
15,2.0,2.0,1.0,57.0,57.0,5.0,No definida,7.0,No definida,6666666.67,Venta,380000000.0,la calleja,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/la-calleja/bogota/8120067
16,2.0,2.0,1.0,80.0,80.0,6.0,1630.0,3.0,846000.0,6125000.0,Venta,490000000.0,chico,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7903436
17,3.0,3.0,2.0,168.0,168.0,6.0,30.0,8.0,1060000.0,5446428.57,Venta,915000000.0,chico,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8133212
18,6.0,3.0,1.0,400.0,400.0,3.0,1630.0,3.0,No definida,2075000.0,Venta,830000000.0,la trinidad,Bogotá,No definida,No definida,/inmueble/casa-en-venta/la-trinidad/bogota/10132160
19,2.0,3.0,2.0,140.0,140.0,6.0,18.0,7.0,1138000.0,8564285.71,Venta,1199000000.0,los rosales,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/los-rosales/bogota/8081404
20,3.0,4.0,2.0,241.0,241.0,6.0,30.0,6.0,866000.0,5435684.65,Venta,1310000000.0,multicentro,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/multicentro/bogota/8047974
21,1.0,2.0,1.0,60.0,60.0,6.0,18.0,3.0,370000.0,9333333.33,Venta,560000000.0,chico,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8047892
22,No definida,No definida,No definida,1500.0,1500.0,6.0,1.0,No definida,No definida,100000.0,Venta,150000000.0,la calera,Bogotá,No definida,No definida,/inmueble/lote-en-venta/la-calera/bogota/8133342
23,3.0,2.0,1.0,127.0,127.0,4.0,1630.0,No definida,540000.0,5433070.87,Venta,Precio total (COP),nicolas de federman,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/7469436
24,3.0,3.0,2.0,196.0,196.0,5.0,18.0,2.0,780000.0,6887755.1,Venta,1350000000.0,la calleja,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/la-calleja/bogota/8134140
25,5.0,3.0,1.0,250.0,250.0,3.0,No definida,No definida,No definida,2200000.0,Venta,550000000.0,timiza,Bogotá,No definida,No definida,/inmueble/casa-en-venta/timiza/bogota/8061851
26,3.0,3.0,2.0,167.0,167.0,6.0,1630.0,No definida,700000.0,7185628.74,Venta,1200000000.0,san patricio,Bogotá,No definida,No definida,/inmueble/casa-en-venta/san-patricio/bogota/8126800
27,4.0,6.0,4.0,342.0,342.0,6.0,1630.0,5.0,1500000.0,4941520.47,Venta,1690000000.0,santa barbara,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/8065594
28,3.0,3.0,1.0,164.0,164.0,6.0,30.0,10.0,825000.0,5182926.83,Venta,850000000.0,chapinero alto,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/8065141
29,4.0,4.0,2.0,159.0,0.0,5.0,1630.0,No definida,200000.0,3867924.53,Venta,615000000.0,san nicolas,Bogotá,No definida,No definida,/inmueble/casa-en-venta/san-nicolas/bogota/10129626
30,2.0,2.0,2.0,112.0,112.0,6.0,915.0,2.0,750000.0,7767857.14,Venta,870000000.0,chico norte,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/chico-norte/bogota/10096650
31,3.0,2.0,1.0,104.0,104.0,4.0,1630.0,5.0,317000.0,5240384.62,Venta,545000000.0,tarragona del salitre et ii,Bogotá,Duplex,No definida,/inmueble/apartamento-en-venta/tarragona-del-salitre-et-ii/bogota/10141181
32,3.0,3.0,4.0,168.0,139.8,4.0,30.0,2.0,No definida,6547619.05,Venta,1100000000.0,centro administrativo occidental,Bogotá,No definida,No definida,/inmueble/casa-en-venta/centro-administrativo-occidental/bogota/10137120
33,1.0,2.0,1.0,60.0,60.0,6.0,1630.0,4.0,500000.0,6166666.67,Venta,370000000.0,santa barbara,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/7903268
34,3.0,5.0,3.0,200.0,200.0,6.0,1630.0,3.0,1000000.0,6450000.0,Venta,1290000000.0,la carolina,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/la-carolina/bogota/8047862
35,3.0,5.0,4.0,346.0,346.0,6.0,1630.0,1.0,1900000.0,8930635.84,Venta,3090000000.0,los rosales,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/los-rosales/bogota/7658365
36,3.0,2.0,1.0,75.0,68.0,5.0,1630.0,No definida,No definida,7066666.67,Venta,530000000.0,ciudad salitre suroriental,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/ciudad-salitre-suroriental/bogota/7338544
37,4.0,5.0,4.0,389.0,389.0,6.0,1630.0,6.0,2400000.0,3470437.02,Venta,1350000000.0,santa paula,Bogotá,Duplex,Excelente,/inmueble/apartamento-en-venta/santa-paula/bogota/7185090
38,3.0,4.0,2.0,145.0,136.0,5.0,1630.0,2.0,959000.0,6413793.1,Venta,930000000.0,santa barbara,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/santa-barbara/bogota/8028456
39,3.0,3.0,2.0,190.0,190.0,6.0,30.0,3.0,680000.0,4315789.47,Venta,820000000.0,chico,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8044798
40,3.0,4.0,2.0,185.0,185.0,6.0,30.0,1.0,1189000.0,6756756.76,Venta,1250000000.0,el nogal,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-nogal/bogota/7963491
41,3.0,2.0,No definida,130.0,102.0,3.0,1630.0,No definida,No definida,3846153.85,Venta,500000000.0,san victorino,Bogotá,No definida,No definida,/inmueble/casa-en-venta/san-victorino/bogota/8068485
42,2.0,1.0,No definida,46.0,40.0,3.0,30.0,No definida,No definida,3913043.48,Venta,180000000.0,veraguas,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/veraguas/bogota/7532014
43,5.0,6.0,4.0,355.0,355.0,6.0,915.0,4.0,1800000.0,5915492.96,Venta,2100000000.0,santa bibiana,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/santa-bibiana/bogota/7910458
44,3.0,3.0,1.0,127.0,127.0,5.0,1630.0,2.0,522000.0,5433070.87,Venta,690000000.0,nicolas de federman,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/nicolas-de-federman/bogota/6841908
45,3.0,3.0,No definida,67.0,42.0,2.0,915.0,No definida,No definida,3432835.82,Venta,230000000.0,tibabuyes,Bogotá,No definida,No definida,/inmueble/casa-en-venta/tibabuyes/bogota/7469324
46,3.0,3.0,2.0,215.0,215.0,6.0,1630.0,2.0,885000.0,3953488.37,Venta,850000000.0,chico,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/chico/bogota/6725943
47,3.0,3.0,2.0,197.0,197.0,6.0,1630.0,5.0,700000.0,3959390.86,Venta,780000000.0,rincon del chico,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/rincon-del-chico/bogota/7909674
48,2.0,3.0,2.0,87.0,87.0,6.0,18.0,4.0,425000.0,8160919.54,Venta,710000000.0,santa paula,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/santa-paula/bogota/8052152
49,2.0,2.0,1.0,58.0,58.0,6.0,18.0,9.0,500000.0,11206896.55,Venta,650000000.0,chico norte,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/chico-norte/bogota/7646371
50,3.0,4.0,3.0,313.0,313.0,6.0,30.0,13.0,1750000.0,7348242.81,Venta,2300000000.0,el refugio,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/el-refugio/bogota/7003569
51,3.0,5.0,4.0,420.0,420.0,6.0,1630.0,1.0,1050000.0,3690476.19,Venta,1550000000.0,la carolina,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/la-carolina/bogota/7608477
52,4.0,4.0,3.0,175.0,175.0,6.0,30.0,3.0,1000000.0,5600000.0,Venta,980000000.0,la carolina,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/la-carolina/bogota/7906362
53,No definida,2.0,1.0,54.0,0.0,4.0,18.0,5.0,No definida,9000000.0,Venta,486000000.0,navarra,Bogotá,No definida,Excelente,/inmueble/consultorio-en-venta/navarra/bogota/7004523
54,3.0,2.0,1.0,139.0,0.0,6.0,915.0,4.0,627000.0,4892086.33,Venta,Precio total (COP),fontibon,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/fontibon/bogota/7822671
55,2.0,3.0,2.0,68.0,68.0,5.0,18.0,4.0,546000.0,6691176.47,Venta,455000000.0,pasadena,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/pasadena/bogota/8048428
56,2.0,3.0,2.0,105.0,105.0,6.0,18.0,4.0,1089000.0,8190476.19,Venta,860000000.0,santa barbara,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/santa-barbara/bogota/8057858
57,3.0,5.0,2.0,232.0,232.0,6.0,1630.0,4.0,2000000.0,8620689.66,Venta,2000000000.0,montearroyo,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/montearroyo/bogota/8047989
58,3.0,4.0,3.0,318.0,318.0,6.0,18.0,12.0,1200000.0,5345911.95,Venta,1700000000.0,bella suiza,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/bella-suiza/bogota/8045854
59,3.0,3.0,2.0,107.0,107.0,4.0,915.0,2.0,335000.0,4439252.34,Venta,475000000.0,colina campestre,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/colina-campestre/bogota/7698905
60,3.0,2.0,2.0,89.13,83.34,4.0,1630.0,1.0,350000.0,9536631.89,Venta,850000000.0,ciudad salitre,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/ciudad-salitre/bogota/10115656
61,1.0,2.0,1.0,50.0,50.0,3.0,18.0,2.0,133000.0,5200000.0,Venta,260000000.0,prado pinzon,Bogotá,No definida,No definida,/inmueble/apartaestudio-en-venta/prado-pinzon/bogota/7851454
62,1.0,1.0,1.0,33.0,33.0,3.0,18.0,3.0,220000.0,6969696.97,Venta,230000000.0,chapinero,Bogotá,Loft,No definida,/inmueble/apartamento-en-venta/chapinero/bogota/10037921
63,3.0,4.0,2.0,250.0,250.0,6.0,1630.0,5.0,500000.0,4980000.0,Venta,1245000000.0,san patricio,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7927665
64,2.0,2.0,2.0,95.0,95.0,6.0,915.0,2.0,800000.0,5947368.42,Venta,565000000.0,chico,Bogotá,Duplex,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7706059
65,2.0,2.0,2.0,72.0,72.0,6.0,1630.0,7.0,850000.0,6666666.67,Venta,480000000.0,el virrey,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7903416
66,4.0,3.0,2.0,148.0,148.0,5.0,No definida,No definida,700000.0,6081081.08,Venta,900000000.0,gratamira,Bogotá,No definida,No definida,/inmueble/casa-en-venta/gratamira/bogota/7831421
67,3.0,2.0,2.0,89.0,89.0,4.0,No definida,1.0,450000.0,4101123.6,Venta,365000000.0,usaquen,Bogotá,No definida,No definida,/inmueble/apartamento-en-venta/usaquen/bogota/8004294
68,3.0,1.0,No definida,47.0,47.0,2.0,18.0,14.0,118750.0,2808510.64,Venta,132000000.0,tintalito,Bogotá,No definida,Excelente,/inmueble/apartamento-en-venta/tintalito/bogota/7330788
69,3.0,4.0,2.0,171.0,171.0,6.0,915.0,6.0,1550000.0,8128654.97,Venta,1390000000.0,el virrey,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7762636
70,2.0,3.0,2.0,90.0,90.0,6.0,915.0,5.0,570000.0,7222222.22,Venta,650000000.0,la calleja,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/la-calleja/bogota/7997141
71,1.0,2.0,1.0,63.0,63.0,6.0,1630.0,3.0,530000.0,6269841.27,Venta,395000000.0,san patricio,Bogotá,No definida,Bueno,/inmueble/apartamento-en-venta/san-patricio/bogota/7962987
