Id,Habitaciones,banos,Parqueaderos,area_construida,area_privada,Estrato,antigüedad,piso_No,administracion,precio m,transaccion,Precio,Barrio,Ciudad,Tipo de apartamento,Estado,Link,antigüedad_ad,tipo inmueble
1,3,5,2,177,177,5,915,8,860000,9887005.65,Venta,1750000000,el virrey,Bogota,No definida,Excelente,/inmueble/apartamento-en-venta/el-virrey/bogota/7584613,9 a 15 años,Apartamento
2,3,3,3,100.2,0,5,1630,4,550000,5688622.75,Venta,570000000,calleja baja,Bogota,PentHouse,No definida,/inmueble/apartamento-en-venta/calleja-baja/bogota/10078389,16 a 30 años,Apartamento
3,2,3,1,88,88,4,915,No definida,No definida,5340909.09,Venta,470000000,cedritos,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/cedritos/bogota/7994158,9 a 15 años,Apartamento
4,3,2,No definida,62,0,0,No definida,No definida,No definida,2419354.84,Venta,150000000,bosa recreo,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bosa-recreo/bogota/7747489,No definida,Apartamento
5,3,5,6,296,296,6,18,No definida,No definida,7770270.27,Venta,2300000000,provenza,Bogota,No definida,No definida,/inmueble/casa-en-venta/provenza/bogota/6991668,1 a 8 años,Casa
6,3,1,No definida,43.46,43.46,2,915,4,57000,3451449.61,Venta,150000000,bosa chicala,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/bosa-chicala/bogota/10139621,9 a 15 años,Apartamento
7,3,3,2,200,0,5,No definida,No definida,No definida,5500000,Venta,1100000000,desconocido,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240216,No definida,Apartamento
8,3,4,2,115,115,5,18,No definida,689000,9565217.39,Venta,1100000000,santa paula,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/santa-paula/bogota/8045367,1 a 8 años,Apartamento
9,1,2,1,66,66,6,18,3,400000,8787878.79,Venta,580000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/8081387,1 a 8 años,Apartamento
10,2,1,1,69,69,3,30,No definida,207000,4347826.09,Venta,300000000,teusaquillo,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/teusaquillo/bogota/8089297,mas de 30 años,Apartamento
11,2,2,2,102,102,6,30,4,816000,6372549.02,Venta,650000000,la cabrera,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/la-cabrera/bogota/7908491,mas de 30 años,Apartamento
12,3,3,2,180,0,6,No definida,No definida,No definida,6388888.89,Venta,1150000000,desconocido,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/desconocido/bogota/3240852,No definida,Apartamento
13,2,2,2,110,110,4,915,4,600000,6545454.55,Venta,720000000,chapinero alto,Bogota,Duplex,Bueno,/inmueble/apartamento-en-venta/chapinero-alto/bogota/8065118,9 a 15 años,Apartamento
14,3,3,2,93,93,6,1630,7,790000,6129032.26,Venta,570000000,el virrey,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7981882,16 a 30 años,Apartamento
15,1,1,1,66,66,6,18,2,500000,8181818.18,Venta,540000000,el virrey,Bogota,Loft,Bueno,/inmueble/apartamento-en-venta/el-virrey/bogota/7980586,1 a 8 años,Apartamento
16,2,2,1,57,57,5,No definida,7,No definida,6666666.67,Venta,380000000,la calleja,Bogota,No definida,No definida,/inmueble/apartamento-en-venta/la-calleja/bogota/8120067,No definida,Apartamento
17,2,2,1,80,80,6,1630,3,846000,6125000,Venta,490000000,chico,Bogota,No definida,Bueno,/inmueble/apartamento-en-venta/chico/bogota/7903436,16 a 30 años,Apartamento
